image_id,mine_row,comparison_row,iou,mine_class,comparison_class,class_agree
drive_022,1,4,0.753837,car,car,True
drive_022,2,3,0.82903,car,car,True
drive_022,3,5,0.822792,truck,bus,False
drive_022,4,2,0.842137,bus,van,False
drive_022,5,1,0.82754,car,car,True
drive_033,5,8,0.82216,car,car,True
drive_033,6,12,0.83052,bus,van,False
drive_033,7,1,0.659921,bus,van,False
drive_033,8,2,0.876781,truck,bus,False
drive_033,9,7,0.884612,car,car,True
drive_033,10,3,0.859946,car,car,True
drive_033,11,4,0.763636,car,car,True
drive_033,12,5,0.789117,car,car,True
drive_033,18,9,0.880652,car,car,True
drive_033,24,6,0.288504,car,car,True
drive_033,25,10,0.429004,car,car,True
drive_033,27,11,0.118008,car,car,True
drive_038,14,16,0.670205,car,car,True
drive_038,15,17,0.708147,car,car,True
drive_038,16,14,0.859429,car,car,True
drive_038,22,13,0.880208,car,car,True
drive_038,23,6,0.862624,car,car,True
drive_038,24,7,0.857351,car,car,True
drive_038,25,8,0.795734,car,car,True
drive_038,26,10,0.757595,car,car,True
drive_038,28,11,0.838588,car,car,True
drive_038,29,12,0.878921,car,car,True
drive_038,33,1,0.338577,car,car,True
drive_038,34,2,0.368946,car,car,True
drive_038,35,3,0.423098,car,car,True
drive_038,36,5,0.863007,truck,bus,False
drive_038,37,9,0.895247,truck,bus,False
drive_038,38,15,0.831524,van,truck,False
drive_038,61,4,0.241314,car,car,True
drive_008,3,12,0.899307,van,truck,False
drive_008,4,9,0.981005,bus,van,False
drive_008,5,5,0.791406,van,truck,False
drive_008,6,3,0.929926,van,truck,False
drive_008,7,1,0.860451,truck,bus,False
drive_008,9,16,0.888702,car,car,True
drive_008,10,11,0.947555,car,car,True
drive_008,11,4,0.894748,car,car,True
drive_008,12,6,0.911489,car,car,True
drive_008,13,2,0.891305,car,car,True
drive_008,14,7,0.817353,car,car,True
drive_008,18,13,0.794766,car,car,True
drive_008,19,14,0.860314,car,car,True
drive_008,21,15,0.510345,car,car,True
